number,value,datetime_start,datetime_complete,duration,params_action_bins,params_gamma,params_learning_rate,params_obs_bins,state
0,3776310.3944640495,2025-08-09 13:11:34.650441,2025-08-09 13:12:21.728426,0 days 00:00:47.077985,34,0.9891921469755733,0.005611516415334507,38,COMPLETE
1,3705884.018721215,2025-08-09 13:12:21.740991,2025-08-09 13:13:13.116711,0 days 00:00:51.375720,45,0.8310429095469044,0.0020513382630874496,7,COMPLETE
2,3884971.6373758,2025-08-09 13:13:13.119724,2025-08-09 13:14:05.610412,0 days 00:00:52.490688,49,0.9409064429814131,0.015930522616241012,5,COMPLETE
3,3979931.361766139,2025-08-09 13:14:05.614449,2025-08-09 13:14:55.147020,0 days 00:00:49.532571,17,0.842255483024977,0.04622589001020832,13,COMPLETE
4,3903805.4503006507,2025-08-09 13:14:55.147020,2025-08-09 13:15:43.842160,0 days 00:00:48.695140,21,0.9044265298948153,0.0040596116104843075,24,COMPLETE
5,3772121.127772341,2025-08-09 13:15:43.844962,2025-08-09 13:16:28.555642,0 days 00:00:44.710680,25,0.8277592782697564,0.01673808578875214,18,COMPLETE
6,3834203.374692119,2025-08-09 13:16:28.555642,2025-08-09 13:17:19.467797,0 days 00:00:50.912155,31,0.9562500163172097,0.008168455894760165,14,COMPLETE
7,3794120.8098931396,2025-08-09 13:17:19.470819,2025-08-09 13:18:08.581536,0 days 00:00:49.110717,16,0.8092436321312796,0.015304852121831466,32,COMPLETE
8,3736601.657130905,2025-08-09 13:18:08.583999,2025-08-09 13:18:54.762615,0 days 00:00:46.178616,43,0.9888282219134134,0.0013492834268013251,49,COMPLETE
9,3842299.7397183194,2025-08-09 13:18:54.762615,2025-08-09 13:19:41.622826,0 days 00:00:46.860211,28,0.8194367506872704,0.0040665633135147945,36,COMPLETE
10,3802156.0168472067,2025-08-09 13:19:41.626640,2025-08-09 13:20:28.597008,0 days 00:00:46.970368,10,0.8723818070507046,0.0776735381623706,16,COMPLETE
11,3685790.4356428394,2025-08-09 13:20:28.601774,2025-08-09 13:21:17.726912,0 days 00:00:49.125138,20,0.8842509289283002,0.05645965774465105,24,COMPLETE
12,3818766.6260326877,2025-08-09 13:21:17.742826,2025-08-09 13:22:06.457531,0 days 00:00:48.714705,18,0.9097913050614523,0.03691979171780846,24,COMPLETE
13,3828643.406365623,2025-08-09 13:22:06.457531,2025-08-09 13:22:54.949871,0 days 00:00:48.492340,11,0.8581554546348953,0.0027782829641173983,12,COMPLETE
14,3748504.4224446765,2025-08-09 13:22:54.951888,2025-08-09 13:23:39.811069,0 days 00:00:44.859181,22,0.9114897003103416,0.02397622727424073,22,COMPLETE
15,3780678.272483704,2025-08-09 13:23:39.813084,2025-08-09 13:24:24.388717,0 days 00:00:44.575633,36,0.8490562608215032,0.0065038615524782495,28,COMPLETE
16,3821194.633981745,2025-08-09 13:24:24.388717,2025-08-09 13:25:08.862895,0 days 00:00:44.474178,15,0.9384433375903622,0.09123037203379908,11,COMPLETE
17,3885622.1451273263,2025-08-09 13:25:08.866167,2025-08-09 13:25:53.963212,0 days 00:00:45.097045,24,0.8908521279735416,0.03662931286386746,44,COMPLETE
18,3789462.623332404,2025-08-09 13:25:53.963212,2025-08-09 13:26:37.692196,0 days 00:00:43.728984,14,0.8548226272917531,0.0011248613366724768,19,COMPLETE
19,3714506.6466518114,2025-08-09 13:26:37.692196,2025-08-09 13:27:20.363695,0 days 00:00:42.671499,27,0.9233928299332271,0.0036280545352206043,29,COMPLETE
20,3866604.5303320354,2025-08-09 13:27:20.363695,2025-08-09 13:28:06.153861,0 days 00:00:45.790166,21,0.8713990007273167,0.001816127148938778,9,COMPLETE
21,3868535.1109357523,2025-08-09 13:28:06.153861,2025-08-09 13:28:53.263653,0 days 00:00:47.109792,24,0.8828760973255191,0.030360322629674245,48,COMPLETE
22,3910336.707143643,2025-08-09 13:28:53.296348,2025-08-09 13:29:38.894678,0 days 00:00:45.598330,19,0.8973298317799604,0.04438398113699349,42,COMPLETE
23,3690161.792407872,2025-08-09 13:29:38.894678,2025-08-09 13:30:23.184477,0 days 00:00:44.289799,18,0.960728165194279,0.05693711058936029,42,COMPLETE
24,3855022.3587155887,2025-08-09 13:30:23.186489,2025-08-09 13:31:09.044527,0 days 00:00:45.858038,14,0.9088018371353215,0.010386094831105674,33,COMPLETE
25,3793453.1375332526,2025-08-09 13:31:09.044527,2025-08-09 13:31:54.792353,0 days 00:00:45.747826,18,0.8404318106776155,0.06191738052323997,21,COMPLETE
26,3897536.897331129,2025-08-09 13:31:54.792353,2025-08-09 13:32:41.314433,0 days 00:00:46.522080,30,0.9281204543029997,0.011798525268182666,40,COMPLETE
27,3773040.131492428,2025-08-09 13:32:41.314433,2025-08-09 13:33:26.762417,0 days 00:00:45.447984,21,0.8986599243617504,0.022910459864468134,32,COMPLETE
28,3858748.1033925503,2025-08-09 13:33:26.762417,2025-08-09 13:34:13.289990,0 days 00:00:46.527573,12,0.86615736810077,0.043494792168488484,26,COMPLETE
29,3910664.863961612,2025-08-09 13:34:13.291273,2025-08-09 13:35:01.331522,0 days 00:00:48.040249,35,0.9739881154764278,0.006212438158073289,38,COMPLETE
30,3729580.9593636384,2025-08-09 13:35:01.331522,2025-08-09 13:35:45.411796,0 days 00:00:44.080274,37,0.9928510132081786,0.0062891115320079655,37,COMPLETE
31,3887429.0450166785,2025-08-09 13:35:45.411796,2025-08-09 13:36:31.772050,0 days 00:00:46.360254,38,0.9754905714604296,0.004000009167270176,45,COMPLETE
32,3687544.9487308348,2025-08-09 13:36:31.772050,2025-08-09 13:37:15.959386,0 days 00:00:44.187336,33,0.9720754836298748,0.005318900112804347,39,COMPLETE
33,3753941.52366043,2025-08-09 13:37:15.959386,2025-08-09 13:38:00.660208,0 days 00:00:44.700822,40,0.8037229630348715,0.002424886976986595,35,COMPLETE
34,3729491.014999476,2025-08-09 13:38:00.660208,2025-08-09 13:38:45.521282,0 days 00:00:44.861074,33,0.9445984267839223,0.00815605750871345,45,COMPLETE
35,3785938.465060907,2025-08-09 13:38:45.521282,2025-08-09 13:39:31.146117,0 days 00:00:45.624835,49,0.8374143635962066,0.020256628261333055,6,COMPLETE
36,3781475.558923235,2025-08-09 13:39:31.146117,2025-08-09 13:40:16.845308,0 days 00:00:45.699191,27,0.8207513236559137,0.012786985921345508,41,COMPLETE
37,3788390.146777607,2025-08-09 13:40:16.845308,2025-08-09 13:41:02.298784,0 days 00:00:45.453476,44,0.9792857546631897,0.005044986261383895,30,COMPLETE
38,3802446.961880831,2025-08-09 13:41:02.298784,2025-08-09 13:41:47.814785,0 days 00:00:45.516001,30,0.9500095432923883,0.0031480044679889282,15,COMPLETE
39,3870816.1677413345,2025-08-09 13:41:47.817208,2025-08-09 13:42:33.594222,0 days 00:00:45.777014,41,0.9290164647833474,0.008617206687598798,50,COMPLETE
40,3853847.359030423,2025-08-09 13:42:33.610051,2025-08-09 13:43:18.772401,0 days 00:00:45.162350,17,0.9598971261093477,0.0019227076306858213,18,COMPLETE
41,3636994.531553499,2025-08-09 13:43:18.772401,2025-08-09 13:44:02.436601,0 days 00:00:43.664200,29,0.9245123545250988,0.014330098274410341,39,COMPLETE
42,3764141.077289333,2025-08-09 13:44:02.436601,2025-08-09 13:44:47.457442,0 days 00:00:45.020841,35,0.8942695971158017,0.01179349609260411,42,COMPLETE
43,3720896.798356361,2025-08-09 13:44:47.473229,2025-08-09 13:45:31.164684,0 days 00:00:43.691455,31,0.934659113604474,0.02847442981771353,47,COMPLETE
44,3914718.9020931455,2025-08-09 13:45:31.178329,2025-08-09 13:46:15.660046,0 days 00:00:44.481717,25,0.91286813806903,0.017426541025728062,34,COMPLETE
45,3744055.226540335,2025-08-09 13:46:15.660046,2025-08-09 13:46:59.367969,0 days 00:00:43.707923,23,0.8800776128257399,0.04553832351241096,33,COMPLETE
46,3844945.706270263,2025-08-09 13:46:59.367969,2025-08-09 13:47:44.532927,0 days 00:00:45.164958,20,0.9135693491847425,0.08910078852711224,35,COMPLETE
47,3789271.3284613737,2025-08-09 13:47:44.532927,2025-08-09 13:48:29.216469,0 days 00:00:44.683542,26,0.9047664623796801,0.07210639779225908,37,COMPLETE
48,3810551.912853773,2025-08-09 13:48:29.216469,2025-08-09 13:49:14.236416,0 days 00:00:45.019947,19,0.9174097786821995,0.017282233557287332,26,COMPLETE
49,3854798.990475959,2025-08-09 13:49:14.236416,2025-08-09 13:49:59.558328,0 days 00:00:45.321912,16,0.8907179200748251,0.0045411472243067,31,COMPLETE
